state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
Utah,UT,UT S    226,http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2025000S226&ciq=urn:user:PA196471263&client_md=a1afaaefe6c1dfefe09e5ace1888ea3e&mode=current_text,Artificial Intelligence Consumer Protection Amendments,Cullimore (R),Republican,"Criminal Use, Private Sector Use",Enacted - Act No.  465,03/27/2025 - Enacted,2025-02,"Enacts provisions related to the use of generative artificial intelligence in consumer transactions and regulated services, requires certain disclosures when generative artificial intelligence is used in consumer transactions and regulated services, establishes liability for violations of consumer protection laws involving artificial intelligence, provides a safe harbor for certain disclosures.","02/04/2025 - INTRODUCED.
02/04/2025 - To SENATE Committee on RULES.
02/05/2025 - From SENATE Committee on RULES.  To SENATE Standing Committee.
02/05/2025 - To SENATE Committee on BUSINESS AND LABOR.
02/18/2025 - From SENATE Committee on BUSINESS AND LABOR:  Reported favorably as substituted.
02/18/2025 - Placed on 2nd Reading calendar.
02/21/2025 - Passed 2nd Reading.
02/24/2025 - Placed on 3rd Reading.
02/24/2025 - Passed SENATE.  *****To HOUSE.
02/25/2025 - To HOUSE Committee on RULES.
02/26/2025 - From HOUSE Committee on RULES.  To Standing Committee.
02/26/2025 - To HOUSE Committee on ECONOMIC DEVELOPMENT AND WORKFORCE SERVICES.
03/04/2025 - From HOUSE Committee on ECONOMIC DEVELOPMENT AND WORKFORCE SERVICES:  Reported favorably.
03/04/2025 - To HOUSE Committee on RULES.
03/07/2025 - From HOUSE Committee on RULES.
03/07/2025 - Placed on 2nd Reading calendar.
03/07/2025 - Placed on 3rd Reading calendar.
03/07/2025 - Passed HOUSE.
03/13/2025 - Enrolled.
03/17/2025 - *****To GOVERNOR.
03/27/2025 - Signed by GOVERNOR.
03/28/2025 - Chaptered.  Chapter No. 465",8840,1344,TRUE,Artificial intelligence technology means the same as that term is defined in Section 13-72-101.,186.37,3.2,1863,132.2,2025,Republican
Utah,UT,UT S    271,http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2025000S271&ciq=urn:user:PA196471263&client_md=26567374eaa9e1b13bd15fa9f228f577&mode=current_text,Unauthorized Artificial Intelligence Impersonation,McKell (R),Republican,"Criminal Use, Private Sector Use, Private Right of Action",Enacted - Act No.  472,03/27/2025 - Enacted,2025-02,"Expands the scope of what constitutes abuse of personal identity to include unauthorized commercial use of simulated or artificially recreated identities, prohibits distribution of technology primarily designed for unauthorized creation of content using personal identities for commercial purposes, provides that the personal identity of an individual is abused if, among other things, the use creates a false impression that the individual participated in or approved the use, creates exemptions for fair use.","02/13/2025 - INTRODUCED.
02/14/2025 - To SENATE Committee on RULES.
02/18/2025 - From SENATE Committee on RULES.  To SENATE Standing Committee.
02/18/2025 - To SENATE Committee on JUDICIARY, LAW ENFORCEMENT, AND CRIMINAL JUSTICE.
02/20/2025 - From SENATE Committee on JUDICIARY, LAW ENFORCEMENT AND CRIMINAL JUSTICE: Reported favorably.
02/20/2025 - Placed on 2nd Reading calendar.
02/25/2025 - Substituted on SENATE floor.
02/25/2025 - Passed 2nd Reading.
02/26/2025 - Placed on 3rd Reading.
02/27/2025 - Amended on SENATE floor.
02/27/2025 - Passed SENATE.  *****To HOUSE.
02/28/2025 - To HOUSE Committee on RULES.
02/28/2025 - From HOUSE Committee on RULES.  To Standing Committee.
02/28/2025 - To HOUSE Committee on ECONOMIC DEVELOPMENT AND WORKFORCE SERVICES.
03/04/2025 - From HOUSE Committee on ECONOMIC DEVELOPMENT AND WORKFORCE SERVICES:  Reported favorably.
03/04/2025 - To HOUSE Committee on RULES.
03/07/2025 - From HOUSE Committee on RULES.
03/07/2025 - Placed on 2nd Reading calendar.
03/07/2025 - Placed on 3rd Reading calendar.
03/07/2025 - Passed HOUSE.
03/14/2025 - Enrolled.
03/17/2025 - *****To GOVERNOR.
03/27/2025 - Signed by GOVERNOR.
03/28/2025 - Chaptered.  Chapter No. 472",7547,1177,TRUE,"Generative artificial intelligence means an artificial intelligence technology system that:
(a) is trained on data;
(b) is designed to simulate human conversation with a consumer through one or more of the following:
(i) text;
(ii) audio; or
(iii) visual communication; and
(c) generates non-scripted outputs similar to outputs created by a human, with limited or no human oversight.",186.37,3.2,1863,132.2,2025,Republican
Utah,UT,UT S    3,http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2025000S3&ciq=urn:user:PA196471263&client_md=042462f154f3fcabd4abb5df89a62098&mode=current_text,Appropriations Adjustments,Stevenson (R),Republican,"Appropriations, Government Use",Enacted - Act No.  539,03/27/2025 - Line Item Vetoed,2025-03,"Supplements or reduces appropriations otherwise provided for the support and operation of State government for the specified fiscal years, provides for budget increases and decreases for the use and support of certain State agencies, public education programs, and institutions of higher education, provides funding for the bills with fiscal impact passed in the 2025 General Session.","03/07/2025 - INTRODUCED.
03/07/2025 - To SENATE Committee on RULES.
03/07/2025 - From SENATE Committee on RULES.
03/07/2025 - Placed on 2nd Reading calendar.
03/07/2025 - 2nd Reading suspended.
03/07/2025 - 3rd Reading suspended.
03/07/2025 - Passed SENATE.  *****To HOUSE.
03/07/2025 - To HOUSE Committee on RULES.
03/07/2025 - From HOUSE Committee on RULES.
03/07/2025 - Placed on 3rd Reading.
03/07/2025 - Passed HOUSE.
03/13/2025 - Enrolled.
03/17/2025 - *****To GOVERNOR.
03/27/2025 - Line Item Vetoed by GOVERNOR.
03/28/2025 - Chaptered.  Chapter No. 539",166076,24007,FALSE,NA,187.11,3.1,2224,132.4,2025,Republican
Utah,UT,UT S    332,http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2025000S332&ciq=urn:user:PA196471263&client_md=7ad1985143cd808ceb0c6c4b49869895&mode=current_text,Artificial Intelligence Policy Act Repeal Date,Cullimore (R),Republican,"Government Use, Oversight/Governance, Private Sector Use",Enacted - Act No.  363,03/25/2025 - Enacted,2025-02,Extends the repeal date of the Artificial Intelligence Policy Act to the specified date.,"02/24/2025 - INTRODUCED.
02/24/2025 - To SENATE Committee on RULES.
02/25/2025 - From SENATE Committee on RULES.  To SENATE Standing Committee.
02/25/2025 - To SENATE Committee on BUSINESS AND LABOR.
02/27/2025 - From SENATE Committee on BUSINESS AND LABOR:  Reported favorably.
02/27/2025 - Placed on 2nd Reading calendar.
02/28/2025 - Passed 2nd Reading.
03/03/2025 - Placed on 3rd Reading.
03/03/2025 - Passed SENATE.  *****To HOUSE.
03/03/2025 - To HOUSE Committee on RULES.
03/03/2025 - From HOUSE Committee on RULES.  To Standing Committee.
03/03/2025 - To HOUSE Committee on LAW ENFORCEMENT AND CRIMINAL JUSTICE.
03/04/2025 - From HOUSE Committee on LAW ENFORCEMENT AND CRIMINAL JUSTICE:  Reported favorably.
03/04/2025 - To HOUSE Committee on RULES.
03/05/2025 - From HOUSE Committee on RULES.
03/05/2025 - Placed on 2nd Reading calendar.
03/05/2025 - Placed on 3rd Reading calendar.
03/05/2025 - Passed HOUSE.
03/07/2025 - Enrolled.
03/13/2025 - *****To GOVERNOR.
03/25/2025 - Signed by GOVERNOR.
03/28/2025 - Chaptered.  Chapter No. 363",1266,206,FALSE,NA,186.37,3.2,1863,132.2,2025,Republican
Utah,UT,UT SJR  14,http://custom.statenet.com/public/resources.cgi?id=ID:bill:UT2025000SJR14&ciq=urn:user:PA196471263&client_md=2a7ce5460329facc631bdc30d1b212c3&mode=current_text,Landlords Antitrust Lawsuit,Blouin (D),Democrat,"Housing, Private Sector Use",Failed - Enacting Clause Struck,45712,2025-02,Calls on the state Attorney General to join the antitrust lawsuit against RealPage and landlords engaged in alleged price fixing actions.,"02/24/2025 - INTRODUCED.
02/24/2025 - To SENATE Committee on RULES.
02/27/2025 - From SENATE Committee on RULES.  To SENATE Standing Committee.
02/27/2025 - To SENATE Committee on JUDICIARY, LAW ENFORCEMENT, AND CRIMINAL JUSTICE.
03/04/2025 - Rereferred to SENATE Committee on RULES by standing committee.
03/07/2025 - Enacting clause struck.",1648,246,FALSE,NA,186.37,3.2,1863,132.2,2025,Republican
Virginia,VA,VA H    1051,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1051&ciq=urn:user:PA196471263&client_md=1f30e622b06e97c717905d8142a1604b&mode=current_text,Public Education,Batten (R),Republican,Education/Training,Failed - Died,45301,2024-01,"Relates to public education, relates to dual enrollment and concurrent enrollment, relates to high school graduation.","01/10/2024 - INTRODUCED.
01/10/2024 - To HOUSE Committee on EDUCATION.
02/07/2024 - In HOUSE Committee on EDUCATION:  Continued to 2025.
11/18/2024 - In HOUSE Committee on EDUCATION:  Left in committee.",120700,17757,FALSE,NA,148.25,2.8,3038,471.2,2024,Divided
Virginia,VA,VA H    1083,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1083&ciq=urn:user:PA196471263&client_md=444de2d160db1f6a2c57a1fc8e8a2f05&mode=current_text,Office of Education Economics,Coyner (R),Republican,"Education Use, Government Use",Enacted - Act No.  410,04/04/2024 - Enacted,2024-01,Directs the Secretary of Education to convene a work group to review and develop a work plan related to the Virginia Longitudinal Data System and the Virginia Workforce Data Trust.,"01/10/2024 - INTRODUCED.
01/10/2024 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
02/05/2024 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported with substitute.
02/05/2024 - To HOUSE Committee on EDUCATION.
02/05/2024 - Committee substitute printed.
02/07/2024 - From HOUSE Committee on EDUCATION:  Reported favorably.
02/12/2024 - Committee substitute adopted on HOUSE floor.
02/12/2024 - Engrossed by HOUSE as substituted.
02/13/2024 - Passed HOUSE.  *****To SENATE.
02/14/2024 - To SENATE Committee on GENERAL LAWS AND TECHNOLOGY.
02/21/2024 - From SENATE Committee on GENERAL LAWS AND TECHNOLOGY:  Reported favorably.
02/21/2024 - Re-referred to SENATE Committee on FINANCE AND APPROPRIATIONS.
02/27/2024 - From SENATE Committee on FINANCE AND APPROPRIATIONS:  Reported with substitute.
02/27/2024 - Committee substitute printed.
02/28/2024 - Committee substitute adopted on SENATE floor.
02/28/2024 - Engrossed by SENATE as substituted.
02/28/2024 - Passed SENATE.  *****To HOUSE for concurrence.
03/01/2024 - HOUSE refused to concur in SENATE substitute.
03/05/2024 - SENATE insists on substitute.
03/06/2024 - *****To CONFERENCE Committee.
03/09/2024 - Conference substitute printed.
03/09/2024 - CONFERENCE Committee Report adopted by HOUSE.
03/09/2024 - CONFERENCE Committee Report adopted by SENATE.
03/25/2024 - Eligible for GOVERNOR'S desk.
04/04/2024 - Signed by GOVERNOR.
04/04/2024 - Acts of Assembly.  Chapter No. 410",3078,478,FALSE,NA,148.25,2.8,3038,471.2,2024,Divided
Virginia,VA,VA H    1525,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1525&ciq=urn:user:PA196471263&client_md=3a2b14da028e589a7f17af5411ba3599&mode=current_text,AI-Generated Image,Freitas (R),Republican,Criminal Use,Failed - Died,45310,2024-01,"Relates to unauthorized creation of image of another, relates to AI-generated image, relates to penalties, creates a Class 1 misdemeanor for any person who knowingly and intentionally creates any videographic or still image using artificial intelligence of any nonconsenting person if that person is totally nude, performing sexual acts, clad in undergarments, or in a state of undress so as to expose the genitals, pubic area, buttocks, or female breast and such.","01/19/2024 - INTRODUCED.
01/19/2024 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
02/13/2024 - In HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Left in committee.",3707,611,TRUE,using artificial intelligence,148.25,2.8,3038,471.2,2024,Divided
Virginia,VA,VA H    1642,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1642&ciq=urn:user:PA196471263&client_md=5a004d487f9b8fd17f9a0e16f76f7905&mode=current_text,Criminal Justice Risk Assessments,Hayes (D),Democrat,"Government Use, Judicial Use",Enacted - Act No.  637,04/02/2025 - Enacted,2025-01,"Relates to criminal justice risk assessments, relates to human oversight, requires that the recommendations or predictions provided by any artificial intelligence-based tool, defined in the bill, utilized for criminal justice purposes, including recommendations or predictions related to pretrial release, sentencing, probation, or parole, shall be reviewed and approved by a qualified human decision maker prior to using any such recommendations or predictions in making or informing a final decision.","01/03/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COURTS OF JUSTICE.
01/17/2025 - From HOUSE Committee on COURTS OF JUSTICE:  Reported with substitute.
01/17/2025 - Committee substitute printed.
01/22/2025 - Committee substitute adopted on HOUSE floor.
01/22/2025 - Engrossed by HOUSE as substituted.
01/23/2025 - Passed HOUSE.  *****To SENATE.
01/24/2025 - To SENATE Committee on COURTS OF JUSTICE.
02/12/2025 - From SENATE Committee on COURTS OF JUSTICE:  Reported with substitute.
02/12/2025 - Committee substitute printed.
02/17/2025 - Committee substitute adopted on SENATE floor.
02/17/2025 - Engrossed by SENATE as substituted.
02/17/2025 - Passed SENATE.  *****To HOUSE for concurrence.
02/18/2025 - HOUSE concurred in SENATE substitute.
02/20/2025 - Eligible for GOVERNOR'S desk.
03/24/2025 - *****Returned to HOUSE with GOVERNOR'S recommendations.
04/02/2025 - HOUSE accepts GOVERNOR'S recommended amendments.
04/02/2025 - SENATE accepts GOVERNOR'S recommended amendments.
04/02/2025 - Reenrolled.
04/02/2025 - Acts of Assembly.  Chapter No. 637",1073,152,TRUE,"A. As used in this section, \",151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    1818,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1818&ciq=urn:user:PA196471263&client_md=9f2123f4ef9d4bbcd2883c61eaa05fd0&mode=current_text,Eligible Security Equipment,Reid (D),Democrat,Education Use,Failed - Died,45665,2025-01,"Relates to public school security equipment grant act of 2013, relates to eligible security equipment, relates to School Safety Firearm Detection Software Pilot Program established, establishes the school safety firearm detection software pilot program the Pilot Program, to be administered as a part of the public school security equipment grant act of 2013.","01/06/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on EDUCATION.
01/15/2025 - From HOUSE Committee on EDUCATION:  Reported with amendment.
01/15/2025 - To HOUSE Committee on APPROPRIATIONS.
02/04/2025 - In HOUSE Committee on APPROPRIATIONS:  Left in committee.",12381,1944,TRUE,"any technology software or system that (i) is provided by a vendor that is (a) headquartered in the Commonwealth, (b) has at least 10 years of experience in providing school safety technology to educational institutions, and (c) is a small business consisting of fewer than 100 employees and (ii) uses artificial intelligence to analyze video streams from surveillance cameras in real time for the detection of firearms and, upon detecting a firearm, immediately notifies local law enforcement, school security personnel, the school administration, and other appropriate public safety authorities.",151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    1870,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H1870&ciq=urn:user:PA196471263&client_md=0e1737987c014529c7adb5e2ae543093&mode=current_text,Residential Landlord and Tenant Act,Callsen (D),Democrat,"Housing, Private Sector Use",Failed - Died,45665,2025-01,"Relates to the State Residential Landlord and Tenant Act, relates to algorithmic device services or products prohibited, relates to civil penalty, prohibits the sale of algorithmic device services or products for the purpose of setting or recommending the amount of rent to be charged to a tenant for the occupancy of a dwelling unit.","01/06/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on GENERAL LAWS.
02/05/2025 - In HOUSE Committee on GENERAL LAWS:  Left in committee.",4685,757,FALSE,NA,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2046,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2046&ciq=urn:user:PA196471263&client_md=61ae116eb6e961511d07379f96031ef1&mode=current_text,High Risk Artificial Intelligence,Anthony (D),Democrat,"Government Use, Oversight/Governance, Responsible Use",Failed - Died,45691,2025-01,"Relates to high risk artificial intelligence, relates to development, deployment, and use by public bodies, relates to work group, relates to report, creates requirements for the development, deployment, and use of high risk artificial intelligence systems, as defined in the bill, by public bodies, directs the Chief Information Officer of the Commonwealth, develops, publishes, and maintains policies and procedures, concerns the development, procurement, implementation, utilization, and ongoing management.","01/07/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
01/27/2025 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported with substitute.
01/27/2025 - To HOUSE Committee on APPROPRIATIONS.
01/27/2025 - Committee substitute printed.
01/31/2025 - From HOUSE Committee on APPROPRIATIONS:  Reported favorably.
02/03/2025 - Committee substitute adopted on HOUSE floor.
02/03/2025 - Engrossed by HOUSE as substituted.
02/04/2025 - Passed HOUSE.  *****To SENATE.
02/05/2025 - To SENATE Committee on GENERAL LAWS AND TECHNOLOGY.
02/12/2025 - From SENATE Committee on GENERAL LAWS AND TECHNOLOGY:  Reported with substitute.
02/12/2025 - Re-referred to SENATE Committee on FINANCE AND APPROPRIATIONS.
02/12/2025 - Committee substitute printed.
02/14/2025 - From SENATE Committee on FINANCE AND APPROPRIATIONS:  Reported favorably.
02/22/2025 - No further action taken.",41074,5965,TRUE,"Artificial intelligence means a set of technologies that enables machines to perform tasks under varying and unpredictable circumstances that typically require human oversight or intelligence, or that can learn from experience and improve performance when exposed to data sets.",151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2047,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2047&ciq=urn:user:PA196471263&client_md=b35eee7db8999dcaa521088634b7af00&mode=current_text,State Residential Landlord and Tenant Act,Anthony (D),Democrat,"Housing, Private Sector Use, Studies",Failed - Died,45665,2025-01,"Relates to State Residential Landlord and Tenant Act, relates to algorithmic pricing devices, relates to study, relates to report, prohibits a landlord from, for the purpose of advising the landlord of the amount of rent to charge a prospective tenant for the occupancy of a dwelling unit, using, incorporating, or training an algorithmic pricing device, defines in the bill, restrains the rental housing market in ways that constitute an unfair method of competition.","01/07/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on GENERAL LAWS.
02/05/2025 - In HOUSE Committee on GENERAL LAWS:  Left in committee.",21172,3362,FALSE,NA,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2094,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2094&ciq=urn:user:PA196471263&client_md=d1dc2abff72e8171984082650efa13b4&mode=current_text,High Risk Artificial Intelligence,Maldonado (D),Democrat,"Private Sector Use, Responsible Use",Vetoed - Vetoed by Governor,03/24/2025 - Vetoed,2025-01,"Relates to high-risk artificial intelligence, relates to development, deployment, and use, relates to civil penalties, provides that each developer of a high-risk artificial intelligence system shall use a reasonable duty of care to protect consumers from any known or reasonably foreseeable risks of algorithmic discrimination arising from the intended and contracted uses.","01/07/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
01/27/2025 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported with substitute.
01/27/2025 - To HOUSE Committee on APPROPRIATIONS.
01/27/2025 - Committee substitute printed.
01/31/2025 - From HOUSE Committee on APPROPRIATIONS:  Reported with substitute.
01/31/2025 - Committee substitute printed.
02/03/2025 - Committee substitute rejected on HOUSE floor.
02/03/2025 - Committee substitute adopted on HOUSE floor.
02/03/2025 - Amended on HOUSE floor.
02/03/2025 - Engrossed by HOUSE as substituted and amended.
02/04/2025 - Passed HOUSE.  *****To SENATE.
02/05/2025 - To SENATE Committee on GENERAL LAWS AND TECHNOLOGY.
02/12/2025 - From SENATE Committee on GENERAL LAWS AND TECHNOLOGY:  Reported with substitute.
02/12/2025 - Re-referred to SENATE Committee on FINANCE AND APPROPRIATIONS.
02/12/2025 - Committee substitute printed.
02/14/2025 - From SENATE Committee on FINANCE AND APPROPRIATIONS:  Reported favorably.
02/19/2025 - Committee substitute adopted on SENATE floor.
02/19/2025 - Engrossed by SENATE as substituted.
02/19/2025 - Passed SENATE.  *****To HOUSE for concurrence.
02/20/2025 - HOUSE concurred in SENATE substitute.
03/07/2025 - Eligible for GOVERNOR'S desk.
03/24/2025 - Vetoed by GOVERNOR.
04/02/2025 - In HOUSE.  HOUSE sustained GOVERNOR'S veto.",44278,6582,TRUE,"Artificial intelligence system means any machine learning-based system that, for any explicit or implicit objective, infers from the inputs such system receives how to generate outputs, including content, decisions, predictions, and recommendations, that can influence physical or virtual environments.",151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2121,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2121&ciq=urn:user:PA196471263&client_md=e24fcd39dc2892cb100e219e825403d3&mode=current_text,Digital Content Authenticity and Transparency Act,Maldonado (D),Democrat,"Notification, Private Sector Use, Provenance",Failed - Died,45665,2025-01,"Relates to Digital Content Authenticity and Transparency Act established, relates to civil penalty, requires a developer of an artificial intelligence system or service to apply provenance data to synthetic digital content that is generated by such developer's generative artificial intelligence system or service and requires a developer to make a provenance application tool and a provenance reader available to the public, requires a controller of an online service, product, or feature to retain.","01/07/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
02/04/2025 - In HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Left in committee.",8593,1314,TRUE,Artificial intelligence,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2124,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2124&ciq=urn:user:PA196471263&client_md=d5698b62eb612842ff04f5a93e724649&mode=current_text,Synthetic Digital Content,Maldonado (D),Democrat,NA,Enacted - Act No.  398,03/24/2025 - Enacted,2025-01,"Relates to defamation, provides that it is unlawful for any person to use any synthetic digital content for the purpose of committing any criminal offense, provides that violation is a Class 1 misdemeanor, provides that a violator shall be liable to the individual depicted in the synthetic digital content, who may bring a civil action, provides that the Attorney General shall convene a work group to study the current enforcement of laws related to the use of synthetic digital content.","01/07/2025 - PREFILED.
01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
01/27/2025 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported favorably.
01/30/2025 - Engrossed by HOUSE.
01/31/2025 - Passed HOUSE.  *****To SENATE.
02/03/2025 - To SENATE Committee on COURTS OF JUSTICE.
02/10/2025 - From SENATE Committee on COURTS OF JUSTICE:  Reported with amendment.
02/12/2025 - Committee amendment adopted on SENATE floor.
02/12/2025 - Engrossed by SENATE as amended.
02/12/2025 - Passed SENATE.  *****To HOUSE for concurrence.
02/14/2025 - HOUSE concurred in SENATE amendments.
02/19/2025 - Eligible for GOVERNOR'S desk.
03/24/2025 - Signed by GOVERNOR.
03/24/2025 - Acts of Assembly.  Chapter No. 398",5471,902,FALSE,NA,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2250,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2250&ciq=urn:user:PA196471263&client_md=1ffb570be2bf8546b8c1a2aea1249f9b&mode=current_text,Consumer Data Protection Act,Maldonado (D),Democrat,"Private Sector Use, Provenance",Failed - Died,45664,2025-01,"Relates to consumer Data Protection Act, relates to Artificial Intelligence Training Data Transparency Act, allows consumers to authorize a third party, acting on the consumer's behalf, to opt out of the processing of the consumer's personal data, provides that such authorization may be made using technology that indicates the consumer's intent to opt out, including a browser setting, browser extension, global device setting, or other user-selected universal opt-out mechanism.","01/07/2025 - INTRODUCED.
01/07/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
02/04/2025 - In HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Left in committee.",76950,12149,TRUE,"Artificial intelligence means a set of technologies that enables machines to perform tasks under varying and unpredictable circumstances that typically require human oversight or intelligence, or that can learn from experience and improve performance when exposed to data sets.",151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2268,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2268&ciq=urn:user:PA196471263&client_md=a860f6d6a526ceb7a19cd5ba3e4e7d50&mode=current_text,Department of Law,Anthony (D),Democrat,Government Use,Failed - Died,45664,2025-01,"Relates to department of Law, relates to Division of Emerging Technologies, Cybersecurity, and Data Privacy established, establishes within the Department of Law a Division of Emerging Technologies, Cybersecurity, and Data Privacy to oversee and enforce laws governing cybersecurity, data privacy, and the use of artificial intelligence (AI) and other emerging technologies, requires the Division to submit an annual report to the Joint Commission on Technology and Science (JCOTS) by November 1 of each year.","01/07/2025 - INTRODUCED.
01/07/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
01/27/2025 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported favorably.
01/27/2025 - To HOUSE Committee on APPROPRIATIONS.
02/04/2025 - In HOUSE Committee on APPROPRIATIONS:  Left in committee.",5909,881,TRUE,the use of artificial intelligence (AI) and other emerging technologies,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2288,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2288&ciq=urn:user:PA196471263&client_md=25a2a427372afafe9b59d0a0cc03c695&mode=current_text,Unlawful Dissemination of Intimate Images of Another,Coyner (R),Republican,Criminal Use,Failed - Adjourned - Died,45665,2025-01,"Relates to unlawful dissemination of intimate images of another, relates to penalties, creates a tiered system of penalties for the unlawful dissemination of intimate images of another person, an offense formerly known as the unlawful dissemination or sale of videographic or still images of another person.","01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COURTS OF JUSTICE.
02/04/2025 - In HOUSE Committee on COURTS OF JUSTICE:  Left in committee",12479,2038,FALSE,NA,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2338,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2338&ciq=urn:user:PA196471263&client_md=26db7ae5d4f84f948d93030d6e4b29cd&mode=current_text,Public Education,Batten (R),Republican,"Education Use, Education/Training",Failed - Died,45665,2025-01,"Relates to public education, relates to concurrent enrollment, relates to high school graduation, makes several changes relating to graduation from a public high school in the Commonwealth, including eliminating the requirement for a student to complete one virtual course in order to graduate from high school and specifying that various options and requirements relating to earning career and technical education credentials.","01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on EDUCATION.
02/04/2025 - In HOUSE Committee on EDUCATION:  Left in committee.",127799,18849,FALSE,NA,151.98,3,3960,477.9,2025,Divided
Virginia,VA,VA H    2411,http://custom.statenet.com/public/resources.cgi?id=ID:bill:VA2024000H2411&ciq=urn:user:PA196471263&client_md=98eb211df25815b9024e616ffca00428&mode=current_text,Division of Consumer Counsel,Glass (D),Democrat,Government Use,Failed - Died,45665,2025-01,"Relates to Division of Consumer Counsel, relates to duties, relates to artificial intelligence fraud and abuse, expands the duties of the Division of Consumer Counsel to include establishing and administering programs to address artificial intelligence fraud and abuse, provides that such programs would include establishing a statewide fraud and abuse alert system to be administered by the Division.","01/08/2025 - INTRODUCED.
01/08/2025 - To HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION.
01/27/2025 - From HOUSE Committee on COMMUNICATIONS, TECHNOLOGY AND INNOVATION:  Reported with amendment.
01/27/2025 - To HOUSE Committee on APPROPRIATIONS.
02/04/2025 - In HOUSE Committee on APPROPRIATIONS:  Left in committee.",4637,684,TRUE,Artificial intelligence fraud and abuse.,151.98,3,3960,477.9,2025,Divided
